TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Encoded,Channel_Encoded,CustomerAge_Binned,TransactionAmountNorm,CustomerAgeNorm,AccountBalanceNorm,Cluster
316.95,Debit,Mesa,Branch,25,Student,83,1,1324.03,1,1,Young Adult,0.3507359374480856,0.11290322580645162,0.08219408284341866,1
60.54,Credit,Columbus,Branch,57,Retired,52,1,3534.93,0,1,Middle Age,0.06676043547118823,0.6290322580645161,0.23080863146092492,1
292.56,Credit,Dallas,Branch,68,Retired,61,1,4638.37,0,1,Senior,0.32372387671248043,0.8064516129032258,0.3049807955237505,1
386.52,Debit,Indianapolis,Branch,48,Engineer,28,1,5630.61,1,1,Middle Age,0.4277850996201255,0.4838709677419355,0.3716782036924756,1
112.07,Debit,Kansas City,Branch,23,Student,51,1,930.3,1,1,Young Adult,0.12383019724674114,0.08064516129032262,0.055727935018021424,1
568.52,Debit,Indianapolis,ATM,46,Engineer,152,1,5499.91,1,0,Middle Age,0.6293511124893402,0.4516129032258065,0.3628926767557946,2
263.99,Debit,Dallas,Branch,79,Retired,227,2,4175.02,1,1,Senior,0.2920824427142746,0.9838709677419355,0.2738348589812016,1
349.64,Debit,Las Vegas,Online,48,Engineer,226,1,6651.62,1,2,Middle Age,0.3869402943749792,0.4838709677419355,0.4403095032917158,0
601.4,Credit,Philadelphia,Branch,56,Engineer,104,1,8458.29,0,1,Middle Age,0.6657658954736246,0.6129032258064516,0.5617521042916662,1
5.77,Debit,Charlotte,Online,50,Doctor,124,1,13988.12,1,2,Middle Age,0.006102355664337212,0.5161290322580645,0.9334619009272195,0
201.33,Credit,Nashville,Branch,42,Engineer,186,1,2585.07,0,1,Adult,0.2226861439978736,0.3870967741935484,0.16695996569140822,1
298.42,Debit,Indianapolis,Branch,56,Retired,225,1,3014.75,1,1,Middle Age,0.3302138593246431,0.6129032258064516,0.1958426375671014,1
521.06,Debit,Albuquerque,Branch,25,Student,128,1,1951.42,1,1,Young Adult,0.5767888983642141,0.11290322580645162,0.12436662871032231,1
117.28,Credit,Austin,Online,60,Engineer,16,1,3665.77,0,2,Middle Age,0.12960030124151373,0.6774193548387097,0.2396035690615014,0
189.12,Credit,Indianapolis,Branch,32,Engineer,103,1,977.01,0,1,Adult,0.20916350104659276,0.22580645161290325,0.05886773580771057,1
133.55,Debit,Atlanta,ATM,44,Engineer,220,1,3846.28,1,0,Adult,0.14761941678756937,0.4193548387096775,0.25173727577412797,2
143.21,Debit,Dallas,Online,35,Engineer,135,1,6374.82,1,2,Adult,0.15831792054755076,0.27419354838709675,0.4217032763898542,0
24.77,Debit,Boston,ATM,62,Retired,55,1,5866.01,1,0,Senior,0.027144961403431048,0.7096774193548387,0.38750156284239695,2
233.92,Credit,Jacksonville,Online,26,Student,280,1,6537.62,0,2,Young Adult,0.2587797503682455,0.12903225806451613,0.4326465341197063,0
232.12,Debit,Omaha,ATM,37,Engineer,51,1,6689.87,1,0,Adult,0.25678624035085773,0.30645161290322587,0.44288063110600845,2
162.63,Debit,Kansas City,Online,22,Student,113,1,634.17,1,2,Young Adult,0.17982567862403506,0.06451612903225812,0.035822364308309484,0
91.53,Debit,Milwaukee,Branch,44,Doctor,69,1,14676.05,1,1,Adult,0.1010820329372155,0.4193548387096775,0.979703886738627,1
120.29,Debit,Miami,Branch,19,Student,77,1,1362.39,1,1,Young Adult,0.1329338929928123,0.016129032258064557,0.08477260475077203,1
174.25,Debit,Seattle,Online,50,Doctor,67,1,10528.34,1,2,Middle Age,0.19269489329183878,0.5161290322580645,0.7008988528400713,0
183.71,Debit,Denver,ATM,38,Engineer,102,1,552.52,1,0,Adult,0.2031718959387771,0.32258064516129037,0.030333930686427268,2
345.39,Credit,Phoenix,Online,58,Engineer,80,1,6451.96,0,2,Middle Age,0.38223339572281345,0.6451612903225806,0.42688855219624733,0
259.91,Debit,Denver,Online,49,Doctor,170,1,7176.86,1,2,Middle Age,0.2875638200081955,0.5,0.475615625466332,0
154.71,Debit,San Diego,Online,34,Doctor,157,1,1523.72,1,2,Adult,0.1710542345475286,0.25806451612903225,0.0956170505097219,0
24.56,Debit,Mesa,Branch,64,Doctor,69,1,9869.93,1,1,Senior,0.026912385234735797,0.7419354838709677,0.6566411727300472,1
568.07,Debit,Washington,ATM,48,Doctor,115,1,10556.81,1,0,Middle Age,0.6288527349849933,0.4838709677419355,0.7028125785622389,2
9.61,Credit,San Diego,Online,58,Doctor,179,1,12883.91,0,2,Middle Age,0.010355177034764598,0.6451612903225806,0.8592379782129688,0
392.96,Debit,Kansas City,Online,24,Student,100,1,791.65,1,2,Young Adult,0.4349174354601131,0.09677419354838712,0.046408016810134484,0
716.93,Credit,Milwaukee,Online,60,Retired,34,1,4064.02,0,2,Middle Age,0.7937160134229673,0.6774193548387097,0.266373546892666,0
223.85,Debit,Kansas City,ATM,53,Engineer,55,4,2929.91,1,0,Middle Age,0.24762716932652584,0.5645161290322581,0.1901397752464586,2
230.66,Debit,Houston,Branch,21,Student,135,1,618.05,1,1,Young Adult,0.2551692822256431,0.04838709677419356,0.03473879357977622,1
442.12,Debit,Los Angeles,Online,19,Student,260,1,1375.8,1,2,Young Adult,0.4893624090461054,0.016129032258064557,0.0856740119139005,0
644.17,Debit,San Antonio,ATM,29,Engineer,72,1,1143.52,1,0,Young Adult,0.71313390849789,0.1774193548387097,0.0700603761307921,2
508.68,Credit,Mesa,Branch,51,Engineer,127,1,7708.41,0,1,Middle Age,0.5630779794668468,0.532258064516129,0.5113458997065218,1
858.63,Credit,San Francisco,Branch,27,Student,185,1,1872.96,0,1,Young Adult,0.9506495520139987,0.14516129032258068,0.1190926237872007,1
25.36,Debit,Louisville,ATM,57,Engineer,78,1,201.04,1,0,Middle Age,0.027798389686908172,0.6290322580645161,0.0067077867866212615,2
147.62,Debit,Charlotte,Branch,71,Retired,133,1,2115.8,1,1,Senior,0.16320202009015095,0.8548387096774193,0.13541609250413736,1
115.02,Debit,San Antonio,Branch,37,Doctor,175,1,7643.66,1,1,Adult,0.12709733866412679,0.30645161290322587,0.5069934676548761,1
383.37,Debit,Fort Worth,Branch,30,Engineer,24,1,8901.93,1,1,Young Adult,0.4242964570896968,0.19354838709677424,0.5915731537957913,1
98.54,Credit,El Paso,Online,20,Student,167,1,9383.43,0,2,Young Adult,0.10884564694937592,0.03225806451612906,0.6239391156933577,0
83.24,Credit,Fort Worth,Branch,55,Doctor,164,1,1181.31,0,1,Middle Age,0.09190081180157929,0.5967741935483871,0.07260058319228542,1
196.16,Debit,Virginia Beach,Branch,27,Engineer,146,1,9418.86,1,1,Young Adult,0.21696034022570962,0.14516129032258068,0.6263206858491849,1
129.94,Debit,Las Vegas,ATM,32,Engineer,235,1,7954.92,1,0,Adult,0.14362132169714154,0.22580645161290325,0.5279160622555749,2
306.9,Debit,Colorado Springs,Online,46,Engineer,51,1,9418.08,1,2,Middle Age,0.3396055065176702,0.4516129032258065,0.6262682550074815,0
114.98,Debit,Seattle,Online,59,Retired,80,1,6144.68,1,2,Middle Age,0.12705303844151816,0.6612903225806451,0.4062334893262906,0
756.59,Debit,Sacramento,Branch,27,Student,17,1,420.65,1,1,Young Adult,0.8376396841394127,0.14516129032258068,0.021469757487191415,1
503.76,Debit,Los Angeles,Online,22,Student,35,1,447.82,1,2,Young Adult,0.5576290520859867,0.06451612903225812,0.023296098473187005,0
143.03,Debit,San Antonio,ATM,63,Retired,147,1,7981.45,1,0,Senior,0.15811856954581197,0.7258064516129032,0.5296993830637627,2
245.54,Debit,New York,ATM,25,Student,180,1,985.06,1,0,Young Adult,0.27164896503604924,0.11290322580645162,0.05940884898169896,2
254.37,Credit,Dallas,Online,51,Engineer,174,1,8849.26,0,2,Middle Age,0.28142823917690185,0.532258064516129,0.5880327276002674,0
213.76,Credit,Dallas,ATM,78,Retired,282,1,3528.72,0,0,Senior,0.2364524381735018,0.967741935483871,0.23039120129813387,2
327.86,Debit,Fresno,Online,40,Engineer,104,1,480.16,1,2,Adult,0.36281882316458636,0.3548387096774194,0.025469961833036004,0
2.5,Debit,San Diego,Online,47,Doctor,107,1,12145.27,1,2,Middle Age,0.0024808124660826414,0.467741935483871,0.8095873155005735,0
300.08,Credit,Austin,Online,68,Doctor,47,1,13546.75,0,2,Senior,0.3320523185629007,0.8064516129032258,0.903793438616256,0
56.98,Credit,Oklahoma City,ATM,43,Engineer,122,2,5688.37,0,0,Adult,0.06281771565902118,0.4032258064516129,0.3755607747396271,2
407.65,Debit,Boston,Online,26,Engineer,62,1,8346.64,1,2,Young Adult,0.4511866922131283,0.12903225806451613,0.5542470998350445,0
115.83,Debit,Fresno,Branch,39,Engineer,167,1,6481.04,1,1,Adult,0.1279944181719513,0.33870967741935487,0.428843281525388,1
53.57,Debit,Houston,ATM,69,Retired,121,1,1651.33,1,0,Senior,0.059041121681636444,0.8225806451612903,0.10419487065042476,2
63.34,Credit,Detroit,Online,46,Doctor,165,1,11174.94,0,2,Middle Age,0.06986145105379155,0.4516129032258065,0.7443626762314863,0
317.87,Debit,Detroit,Online,27,Student,91,1,145.5,1,2,Young Adult,0.35175484256808387,0.14516129032258068,0.0029744419812405137,0
331.65,Debit,Portland,Online,41,Engineer,61,1,4172.57,1,2,Adult,0.36701626925675296,0.3709677419354839,0.27367017236303115,0
5.04,Debit,Washington,ATM,56,Retired,41,1,5558.36,1,0,Middle Age,0.005293876601729923,0.6129032258064516,0.3668216289321451,2
214.54,Credit,Detroit,Online,70,Doctor,247,1,11151.53,0,2,Senior,0.23731629251436986,0.8387096774193548,0.7427890787901115,0
598.81,Debit,Philadelphia,Branch,57,Doctor,158,1,1415.52,1,1,Middle Age,0.6628974560597165,0.6290322580645161,0.08834395169909538,1
841.28,Debit,Tucson,Online,26,Student,80,1,1103.64,1,2,Young Adult,0.9314343304575105,0.12903225806451613,0.0673796813011453,0
38.15,Debit,Mesa,Online,26,Student,108,1,303.68,1,2,Young Adult,0.04196338586601397,0.12903225806451613,0.013607147802542761,0
124.72,Debit,Oklahoma City,Branch,33,Engineer,105,1,6309.8,1,1,Adult,0.1378401426467168,0.24193548387096775,0.4173326952006959,1
302.45,Credit,San Antonio,Branch,78,Retired,40,1,5133.61,0,1,Senior,0.3346771067524614,0.967741935483871,0.3382703468636274,1
208.04,Debit,Louisville,Online,47,Engineer,273,1,9344.98,1,2,Middle Age,0.23011750634046935,0.467741935483871,0.6213545440735,0
5.77,Credit,Los Angeles,Branch,23,Student,254,1,1117.97,0,1,Young Adult,0.006102355664337212,0.08064516129032262,0.06834292996987244,1
381.33,Debit,Albuquerque,ATM,56,Doctor,75,1,11835.35,1,0,Middle Age,0.42203714573665724,0.6129032258064516,0.7887547943971597,2
16.16,Debit,Milwaukee,ATM,50,Doctor,124,1,14401.17,1,0,Middle Age,0.017609338486925894,0.5161290322580645,0.9612267203701887,2
486.08,Debit,Oklahoma City,Online,18,Student,68,1,1748.69,1,2,Child,0.5380483536929772,0.0,0.11073931519943216,0
336.39,Debit,San Antonio,Branch,21,Student,18,1,1000.46,1,1,Young Adult,0.3722658456358742,0.04838709677419356,0.06044402201019848,1
234.57,Debit,Chicago,Online,23,Student,120,1,263.98,1,2,Young Adult,0.2594996289856356,0.08064516129032262,0.01093855239790438,0
6.0,Debit,Chicago,Online,30,Doctor,246,1,5442.76,1,2,Young Adult,0.00635708194433677,0.19354838709677424,0.35905110931561623,0
227.14,Debit,Charlotte,ATM,18,Student,294,1,341.94,1,0,Child,0.25127086263608467,0.0,0.016178947807113656,2
233.74,Credit,Oklahoma City,Online,66,Retired,17,1,1066.59,0,2,Senior,0.2585803993665068,0.7741935483870968,0.06488921632024221,0
113.02,Credit,Jacksonville,Branch,69,Retired,166,1,6077.96,0,1,Senior,0.12488232753369584,0.8225806451612903,0.40174863578983033,1
45.85,Debit,Los Angeles,ATM,20,Student,92,1,1659.15,1,0,Young Adult,0.05049117871817305,0.03225806451612906,0.1047205234480135,2
514.95,Debit,New York,Online,41,Doctor,142,5,421.93,1,2,Adult,0.5700220393607478,0.3709677419354839,0.02155579784280696,0
415.5,Debit,Memphis,ATM,66,Doctor,141,1,10113.66,1,0,Senior,0.4598806109000697,0.7741935483870968,0.6730244663817477,2
265.76,Debit,Philadelphia,Online,54,Retired,92,1,4446.17,1,2,Middle Age,0.29404272756470595,0.5806451612903226,0.2920612983758539,0
69.4,Debit,Virginia Beach,Online,80,Retired,113,1,6452.77,1,2,Senior,0.07657293477899726,1.0,0.4269429996087853,0
332.93,Credit,Albuquerque,Branch,35,Engineer,293,1,2788.2,0,1,Adult,0.3684338763802288,0.27419354838709675,0.1806141668134282,1
267.9,Debit,San Antonio,Online,20,Student,160,1,596.16,1,2,Young Adult,0.296412789474267,0.03225806451612906,0.033267369060694746,0
496.03,Debit,San Francisco,Branch,61,Doctor,265,1,12904.66,1,1,Senior,0.5490680340668711,0.6935483870967742,0.8606327730403301,1
376.26,Debit,Tucson,ATM,37,Engineer,245,1,9062.4,1,0,Adult,0.41642209252101486,0.30645161290322587,0.6023597911908121,2
83.02,Credit,Seattle,Online,36,Engineer,171,1,9009.56,0,2,Adult,0.09165716057723189,0.29032258064516125,0.5988079377605579,0
93.26,Credit,New York,Online,20,Student,72,1,1152.2,0,2,Young Adult,0.10299801756503826,0.03225806451612906,0.07064383729231002,0
803.37,Credit,Memphis,Branch,68,Doctor,129,1,12168.37,0,1,Senior,0.8894487944801922,0.8064516129032258,0.8111400750433229,1
35.76,Debit,Charlotte,Branch,23,Student,122,1,611.86,1,1,Young Adult,0.03931644756514901,0.08064516129032262,0.034322707797541666,1
28.53,Debit,Washington,Online,62,Doctor,99,1,8670.53,1,2,Senior,0.031309182328641195,0.7096774193548387,0.5760186707571687,0
139.53,Credit,Louisville,Online,53,Doctor,177,1,10098.86,0,2,Middle Age,0.15424230006755785,0.5645161290322581,0.672029624769943,0
307.57,Debit,Detroit,Branch,33,Doctor,285,1,5307.74,1,1,Adult,0.3403475352463646,0.24193548387096775,0.3499751961787327,1
60.65,Credit,Tucson,Branch,56,Retired,53,1,1047.28,0,1,Middle Age,0.06688226108336194,0.6129032258064516,0.06359121689294833,1
74.86,Debit,Nashville,Branch,70,Doctor,125,1,6921.48,1,1,Senior,0.08261991516507369,0.8387096774193548,0.45844923014047434,1
117.97,Debit,Kansas City,Branch,51,Retired,137,1,1475.46,1,1,Middle Age,0.1303644800815124,0.532258064516129,0.09237306022690457,1
231.91,Debit,Memphis,ATM,34,Engineer,165,1,112.76,1,0,Adult,0.25655366418216247,0.25806451612903225,0.0007736910102616569,2
126.21,Debit,Baltimore,Branch,75,Retired,268,1,5669.66,1,1,Senior,0.13949032593888783,0.9193548387096775,0.374303106729028,1
506.28,Credit,Chicago,Online,53,Retired,162,2,1309.95,0,2,Middle Age,0.5604199661103296,0.5645161290322581,0.08124763893164767,0
304.35,Debit,Houston,Branch,31,Engineer,36,1,4057.1,1,1,Adult,0.33678136732637076,0.20967741935483875,0.26590839122011944,1
281.85,Debit,Detroit,ATM,22,Student,109,1,1585.98,1,0,Young Adult,0.31186249210902284,0.06451612903225812,0.09980210718208427,2
777.88,Debit,Houston,Branch,31,Engineer,17,1,6825.55,1,1,Adult,0.86121847762285,0.20967741935483875,0.4520009088012562,1
119.18,Debit,Los Angeles,Branch,56,Retired,96,1,5516.5,1,1,Middle Age,0.13170456181542312,0.6129032258064516,0.36400784042740547,1
177.19,Debit,Chicago,Online,76,Retired,43,1,5343.3,1,2,Senior,0.19595095965357226,0.935483870967742,0.3523655048081771,0
260.88,Debit,Denver,Branch,22,Student,36,1,903.05,1,1,Young Adult,0.2886381004064545,0.06451612903225812,0.053896216509799866,1
169.47,Debit,Chicago,Online,24,Student,19,1,1806.16,1,2,Young Adult,0.18740101669010886,0.09677419354838712,0.11460239272851447,0
73.23,Debit,Portland,Branch,26,Student,14,1,787.74,1,1,Young Adult,0.08081468109377249,0.12903225806451613,0.04614519041134012,1
792.57,Debit,Baltimore,ATM,19,Student,164,1,770.37,1,0,Young Adult,0.8774877343758651,0.016129032258064557,0.04497759589802605,2
237.06,Debit,Phoenix,Online,71,Retired,46,1,1182.77,1,2,Senior,0.26225731784302214,0.8548387096774193,0.0726987229729094,0
34.17,Credit,Philadelphia,Online,54,Engineer,54,1,726.55,0,2,Middle Age,0.03755551371645642,0.5806451612903226,0.04203205809875013,0
740.25,Debit,Philadelphia,Online,41,Doctor,123,1,14464.3,1,2,Adult,0.819543043203792,0.3709677419354839,0.9654702575967585,0
453.54,Debit,Albuquerque,ATM,58,Doctor,82,1,12046.3,1,0,Middle Age,0.502010122600866,0.6451612903225806,0.8029346483167684,2
300.47,Debit,Jacksonville,Branch,73,Retired,100,1,7885.64,1,1,Senior,0.3324842457333348,0.8870967741935485,0.5232591280078835,1
110.93,Credit,Virginia Beach,Branch,19,Student,201,1,1952.35,0,1,Young Adult,0.12256764090239552,0.016129032258064557,0.1244291424061992,1
201.69,Debit,Las Vegas,ATM,59,Doctor,299,1,7328.52,1,0,Middle Age,0.22308484600135114,0.6612903225806451,0.4858100632262176,2
399.21,Debit,Portland,ATM,59,Engineer,109,1,3210.39,1,0,Middle Age,0.44183934524270974,0.6612903225806451,0.20899336817071484,2
630.36,Debit,Mesa,ATM,62,Retired,52,1,1363.65,1,0,Senior,0.6978392566422645,0.7096774193548387,0.08485730072583109,2
10.94,Credit,Philadelphia,ATM,60,Engineer,245,1,1241.99,0,0,Middle Age,0.011828159436501166,0.6774193548387097,0.07667943380068484,2
215.9,Debit,Los Angeles,ATM,38,Doctor,235,1,7873.28,1,0,Adult,0.2388225000830629,0.32258064516129037,0.522428300823971,2
226.37,Credit,Louisville,Branch,49,Doctor,141,1,9840.04,0,1,Middle Age,0.2504180833508688,0.5,0.6546319959883685,1
444.89,Credit,Las Vegas,Branch,43,Doctor,101,1,10328.23,0,1,Adult,0.4924301994617522,0.4032258064516129,0.6874476531820817,1
280.57,Credit,Virginia Beach,Online,25,Student,24,1,293.24,0,2,Young Adult,0.310444884985547,0.11290322580645162,0.012905381152053474,0
488.54,Debit,Jacksonville,Branch,52,Engineer,132,1,7486.63,1,1,Middle Age,0.5407728173834073,0.5483870967741935,0.49643806371557214,1
3.3,Credit,Los Angeles,Branch,50,Doctor,131,1,11385.37,0,1,Middle Age,0.0033668169182550136,0.5161290322580645,0.7585075762566262,1
199.39,Debit,Colorado Springs,Branch,69,Retired,165,1,7264.79,1,1,Senior,0.22053758320135555,0.8225806451612903,0.481526194582953,1
20.36,Debit,Tucson,Branch,62,Retired,75,1,2762.48,1,1,Senior,0.022260861860830847,0.7096774193548387,0.17888529341777837,1
113.64,Debit,Detroit,Online,62,Retired,32,1,6675.03,1,2,Senior,0.12556898098412944,0.7096774193548387,0.44188310073309073,0
493.11,Debit,Colorado Springs,Branch,53,Retired,236,1,7432.99,1,1,Middle Age,0.545834117816442,0.5645161290322581,0.4928324350630582,1
307.41,Debit,Los Angeles,ATM,19,Student,14,1,1057.0,1,0,Young Adult,0.34017033435593014,0.016129032258064557,0.06424458584340387,2
11.18,Debit,Atlanta,Online,43,Doctor,161,1,5956.89,1,2,Adult,0.012093960772152879,0.4032258064516129,0.39361042809110064,0
313.82,Debit,Tucson,Branch,59,Engineer,151,1,7261.59,1,1,Middle Age,0.34726944502896123,0.6612903225806451,0.48131109369391417,1
51.0,Debit,Seattle,Branch,64,Retired,107,1,4943.16,1,1,Senior,0.056194832379032694,0.7419354838709677,0.3254684830144239,1
140.98,Debit,Memphis,Branch,60,Engineer,100,1,8127.48,1,1,Middle Age,0.15584818313712026,0.6774193548387097,0.5395153776969955,1
288.04,Debit,Denver,ATM,68,Retired,63,1,1748.02,1,0,Senior,0.31871795155770655,0.8064516129032258,0.11069427845078963,2
800.55,Debit,Oklahoma City,ATM,31,Engineer,108,1,9660.22,1,0,Adult,0.8863256287862845,0.20967741935483875,0.6425446704049409,2
